elapsed_sec,angle_deg,flex_raw_adc,current_mA
1.6002528667449951,90.0,700.0,0.85
1.62288498878479,94.0,700.0,3.48
1.6314260959625244,103.0,700.0,5.0
1.6512281894683838,112.0,697.0,401.12
1.6724059581756592,120.0,699.0,43.21
1.6999521255493164,128.0,699.0,72.9
1.714298963546753,135.0,700.0,225.36
1.731147050857544,140.0,699.0,267.1
1.768090009689331,145.0,700.0,1.52
1.7726750373840332,148.0,700.0,0.4
1.7979249954223633,149.0,700.0,3.57
1.8270580768585205,149.0,700.0,-8.62
1.8314158916473389,148.0,696.0,29.6
1.8511290550231934,145.0,700.0,2.14
1.8731911182403564,141.0,702.0,3.79
1.9060521125793457,135.0,699.0,0.49
1.917820930480957,129.0,700.0,5.67
1.931981086730957,121.0,700.0,210.31
1.95119309425354,113.0,699.0,286.52
1.972095012664795,104.0,700.0,0.62
2.0076558589935303,95.0,699.0,300.27
2.033233880996704,85.0,699.0,-25.18
2.035080909729004,76.0,700.0,115.4
2.0587010383605957,67.0,702.0,245.45
2.072160005569458,59.0,697.0,242.72
2.0912070274353027,51.0,700.0,186.56
2.111227035522461,44.0,700.0,174.51
2.132465124130249,39.0,700.0,288.62
2.1511430740356445,34.0,700.0,-22.01
2.1724109649658203,31.0,694.0,-25.4
2.192690849304199,30.0,700.0,71.03
2.2128260135650635,30.0,701.0,386.61
2.236541986465454,31.0,700.0,0.62
2.2534079551696777,34.0,700.0,3.04
2.2743589878082275,38.0,700.0,4.24
2.294502019882202,44.0,700.0,139.11
2.3116660118103027,50.0,700.0,99.91
2.340057134628296,58.0,705.0,377.72
2.350831985473633,66.0,699.0,193.08
2.3732359409332275,75.0,700.0,0.71
2.391091823577881,84.0,700.0,53.66
2.4178779125213623,94.0,700.0,249.73
2.432023048400879,103.0,699.0,204.69
2.4528989791870117,112.0,700.0,77.05
2.473703145980835,120.0,696.0,188.88
2.4920051097869873,128.0,700.0,-10.58
2.520740032196045,135.0,700.0,39.96
2.5471599102020264,140.0,699.0,224.6
2.5514941215515137,145.0,700.0,178.79
2.5735769271850586,148.0,699.0,0.85
2.5921149253845215,149.0,710.0,5.67
2.6203670501708984,149.0,693.0,1.7
2.6360960006713867,148.0,700.0,167.14
2.654153823852539,145.0,699.0,119.02
2.6725471019744873,141.0,699.0,0.62
2.6973159313201904,135.0,700.0,0.49
2.723814010620117,129.0,699.0,1.16
2.738780975341797,121.0,707.0,0.71
2.752107858657837,113.0,699.0,-16.83
2.776689052581787,104.0,700.0,264.33
2.7912518978118896,95.0,699.0,292.23
2.8239588737487793,85.0,698.0,163.3
2.8392059803009033,76.0,700.0,160.89
2.852329969406128,67.0,699.0,260.27
2.8730249404907227,59.0,700.0,229.51
2.892636775970459,51.0,700.0,101.34
2.911393880844116,44.0,699.0,243.57
2.940873861312866,39.0,699.0,295.54
2.952363967895508,34.0,700.0,0.85
