elapsed_sec,angle_deg,flex_raw_adc,current_mA
0.0,90.0,694.0,0.4
0.02,98.0,694.0,0.4
0.04,108.0,694.0,649.6
0.06,116.0,693.0,325.5
0.08,124.0,694.0,190.0
0.1,132.0,695.0,135.7
0.12,138.0,694.0,96.7
0.14,143.0,695.0,103.4
0.16,147.0,694.0,74.8
0.18,149.0,695.0,120.8
0.2,149.0,695.0,0.4
0.22,149.0,695.0,-16.0
0.24,147.0,693.0,0.7
0.26,143.0,693.0,0.4
0.28,138.0,693.0,33.5
0.3,132.0,692.0,4.1
0.32,125.0,693.0,47.8
0.34,117.0,693.0,90.8
0.36,108.0,693.0,473.9
0.38,99.0,693.0,401.8
0.4,90.0,693.0,282.1
0.42,81.0,693.0,283.8
0.44,71.0,693.0,26.3
0.46,63.0,693.0,249.5
0.48,55.0,693.0,169.2
0.5,47.0,694.0,277.1
0.52,41.0,693.0,297.6
0.54,36.0,694.0,7.2
0.56,33.0,693.0,48.9
0.58,30.0,693.0,386.7
0.6,30.0,696.0,83.2
0.62,30.0,693.0,36.9
0.64,32.0,693.0,0.4
0.66,36.0,693.0,4.9
0.68,41.0,694.0,240.9
0.7,47.0,693.0,427.8
0.72,54.0,693.0,314.1
0.74,62.0,694.0,339.5
0.76,71.0,696.0,397.9
0.78,80.0,693.0,362.4
0.8,90.0,694.0,282.4
0.82,98.0,693.0,258.7
0.84,108.0,694.0,278.4
0.86,116.0,693.0,262.0
0.88,124.0,693.0,272.1
0.9,132.0,693.0,149.4
0.92,138.0,694.0,313.6
0.94,143.0,693.0,398.2
0.96,146.0,693.0,0.6
0.98,149.0,692.0,44.9
1.0,149.0,692.0,39.7
1.02,149.0,692.0,45.7
1.04,147.0,692.0,0.4
1.06,143.0,690.0,0.2
1.08,138.0,692.0,0.4
1.1,132.0,686.0,0.4
1.12,125.0,692.0,223.0
1.14,117.0,692.0,318.4
1.16,108.0,692.0,372.1
1.18,99.0,692.0,414.1
1.2,90.0,692.0,0.2
1.22,80.0,692.0,489.9
1.24,71.0,691.0,289.1
1.26,63.0,691.0,172.6
1.28,54.0,692.0,123.9
1.3,47.0,692.0,183.7
1.32,41.0,692.0,25.2
1.34,36.0,691.0,117.2
1.36,32.0,691.0,261.1
1.38,30.0,691.0,91.1
1.4,30.0,691.0,37.3
1.42,30.0,691.0,25.9
1.44,32.0,691.0,0.2
1.46,36.0,692.0,43.3
1.48,41.0,691.0,0.8
1.5,47.0,691.0,101.2
1.52,54.0,691.0,5.1
1.54,62.0,690.0,388.8
1.56,71.0,691.0,434.6
1.58,80.0,691.0,357.9
1.6,89.0,690.0,265.4
1.62,98.0,689.0,170.8
1.64,108.0,691.0,294.2
1.66,116.0,691.0,73.2
1.68,124.0,691.0,140.0
1.7,132.0,691.0,140.4
1.72,138.0,691.0,310.0
1.74,143.0,690.0,56.3
1.76,146.0,691.0,41.9
1.78,149.0,690.0,297.1
1.8,149.0,690.0,143.2
1.82,149.0,690.0,11.9
1.84,147.0,689.0,0.4
1.86,143.0,690.0,1.3
1.88,138.0,690.0,1.3
1.9,132.0,690.0,272.8
1.92,125.0,689.0,462.7
1.94,117.0,690.0,425.5
1.96,108.0,690.0,35.9
1.98,99.0,689.0,220.8
2.0,90.0,689.0,324.5
2.02,81.0,689.0,267.1
2.04,71.0,690.0,306.1
2.06,63.0,689.0,238.4
2.08,55.0,690.0,0.9
2.1,47.0,689.0,272.8
2.12,41.0,691.0,0.4
2.14,36.0,689.0,483.9
2.16,32.0,690.0,472.2
2.18,30.0,690.0,125.8
2.2,30.0,689.0,22.2
2.22,30.0,690.0,88.6
