elapsed_sec,angle_deg,flex_raw_adc,current_mA
0.0,90.0,706.0,20.8
0.02,98.0,706.0,0.2
0.04,108.0,706.0,698.4
0.06,116.0,706.0,329.6
0.08,124.0,706.0,2.4
0.1,132.0,706.0,358.4
0.12,138.0,706.0,213.4
0.14,143.0,707.0,148.2
0.16,146.0,706.0,20.4
0.18,149.0,705.0,25.7
0.2,149.0,707.0,123.1
0.22,149.0,707.0,0.8
0.24,147.0,707.0,33.5
0.26,143.0,706.0,-0.2
0.28,138.0,707.0,111.2
0.3,132.0,707.0,293.5
0.32,125.0,706.0,174.1
0.34,117.0,706.0,368.3
0.36,108.0,707.0,99.0
0.38,99.0,706.0,214.6
0.4,90.0,706.0,62.0
0.42,81.0,707.0,304.0
0.44,71.0,706.0,144.9
0.46,63.0,707.0,207.9
0.48,54.0,707.0,19.4
0.5,47.0,707.0,332.4
0.52,41.0,706.0,92.4
0.54,36.0,707.0,142.5
0.56,33.0,707.0,179.4
0.58,30.0,706.0,0.7
0.6,30.0,706.0,37.1
0.62,30.0,707.0,40.4
0.64,32.0,707.0,0.1
0.66,36.0,706.0,40.7
0.68,41.0,707.0,91.4
0.7,47.0,707.0,3.0
0.72,54.0,707.0,0.1
0.74,62.0,707.0,593.1
0.76,71.0,708.0,165.8
0.78,80.0,707.0,208.1
0.8,89.0,706.0,347.9
0.82,98.0,707.0,18.9
0.84,108.0,707.0,274.2
0.86,117.0,707.0,-13.3
0.88,124.0,707.0,132.1
0.9,132.0,704.0,165.8
0.92,138.0,707.0,40.7
0.94,143.0,707.0,0.2
0.96,146.0,706.0,595.9
0.98,149.0,706.0,68.5
1.0,150.0,706.0,309.3
1.02,149.0,706.0,0.1
1.04,147.0,706.0,0.7
1.06,143.0,706.0,0.4
1.08,138.0,705.0,197.5
1.1,132.0,706.0,353.9
1.12,125.0,706.0,353.0
1.14,117.0,706.0,0.4
1.16,108.0,706.0,2.4
1.18,99.0,706.0,21.1
1.2,89.0,706.0,290.6
1.22,81.0,706.0,0.8
1.24,71.0,706.0,582.3
1.26,63.0,705.0,300.6
1.28,54.0,706.0,130.9
1.3,47.0,706.0,132.6
1.32,41.0,705.0,94.2
1.34,36.0,706.0,138.3
1.36,33.0,706.0,6.2
1.38,30.0,706.0,6.5
1.4,30.0,704.0,41.9
1.42,30.0,704.0,39.8
1.44,32.0,706.0,0.4
1.46,36.0,705.0,0.4
1.48,41.0,706.0,44.1
1.5,47.0,706.0,0.8
1.52,54.0,706.0,176.8
1.54,62.0,706.0,433.7
1.56,71.0,705.0,385.8
1.58,80.0,706.0,328.3
1.6,89.0,706.0,210.8
1.62,98.0,706.0,-12.3
1.64,108.0,706.0,230.3
1.66,116.0,706.0,0.4
1.68,124.0,700.0,496.9
1.7,132.0,706.0,253.7
1.72,138.0,706.0,138.4
1.74,143.0,705.0,54.5
1.76,146.0,705.0,58.8
1.78,149.0,705.0,54.4
1.8,150.0,705.0,0.4
1.82,149.0,705.0,5.8
1.84,147.0,705.0,26.1
1.86,143.0,706.0,0.4
1.88,138.0,705.0,128.1
1.9,132.0,705.0,59.1
1.92,125.0,705.0,6.4
1.94,117.0,706.0,22.8
1.96,108.0,705.0,57.7
1.98,99.0,706.0,125.8
2.0,90.0,704.0,160.3
2.02,81.0,705.0,283.7
2.04,71.0,705.0,201.5
2.06,63.0,705.0,295.8
2.08,55.0,704.0,79.0
2.1,47.0,705.0,0.7
2.12,41.0,705.0,533.1
2.14,36.0,704.0,323.7
2.16,33.0,704.0,5.3
2.18,30.0,702.0,32.0
2.2,30.0,700.0,48.0
2.22,30.0,699.0,45.3
2.24,32.0,698.0,0.4
2.26,36.0,698.0,0.4
2.28,41.0,698.0,34.4
2.3,47.0,696.0,54.7
2.32,54.0,697.0,283.3
2.34,62.0,696.0,0.8
2.36,71.0,694.0,595.3
