elapsed_sec,angle_deg,flex_raw_adc,current_mA
0.019,98.0,700.0,6.4
0.039,107.0,700.0,0.6
0.059,116.0,701.0,406.8
0.079,124.0,700.0,49.3
0.099,131.0,701.0,0.7
0.119,137.0,701.0,-30.4
0.139,143.0,700.0,294.2
0.159,146.0,699.0,0.4
0.179,149.0,701.0,-0.4
0.199,149.0,701.0,134.4
0.219,149.0,701.0,5.3
0.239,147.0,701.0,0.7
0.259,143.0,699.0,1.6
0.279,139.0,702.0,0.4
0.299,133.0,701.0,0.7
0.319,126.0,700.0,0.8
0.339,118.0,701.0,-0.3
0.359,109.0,697.0,313.6
0.379,100.0,700.0,168.4
0.399,90.0,699.0,192.1
0.419,81.0,701.0,-15.0
0.439,72.0,700.0,22.4
0.459,63.0,700.0,226.4
0.479,55.0,699.0,129.7
0.499,48.0,704.0,191.8
0.519,42.0,700.0,232.7
0.539,36.0,701.0,0.6
0.559,33.0,701.0,-22.6
0.579,30.0,699.0,149.6
0.599,30.0,700.0,0.7
0.619,30.0,703.0,0.6
0.639,32.0,700.0,7.3
0.659,36.0,698.0,4.9
0.679,40.0,702.0,3.7
0.699,46.0,699.0,284.3
0.719,53.0,701.0,367.7
0.739,61.0,700.0,284.7
0.759,70.0,699.0,0.4
0.779,79.0,701.0,0.8
0.799,89.0,697.0,20.4
0.819,98.0,701.0,171.8
0.839,107.0,699.0,205.8
0.859,116.0,701.0,273.0
0.879,124.0,698.0,240.4
0.899,132.0,699.0,-42.0
0.919,137.0,700.0,-25.1
0.939,143.0,697.0,122.6
0.959,146.0,700.0,56.4
0.979,149.0,702.0,277.3
0.999,149.0,701.0,0.6
1.019,149.0,701.0,-5.9
1.039,147.0,700.0,6.5
1.059,143.0,698.0,3.5
1.079,139.0,701.0,8.5
1.099,133.0,699.0,0.4
1.119,126.0,706.0,0.7
1.139,118.0,701.0,158.3
1.159,109.0,698.0,257.0
1.179,100.0,700.0,225.2
1.199,90.0,700.0,255.9
1.219,81.0,701.0,162.6
1.239,72.0,701.0,1.3
1.259,63.0,701.0,-13.5
1.279,55.0,705.0,33.8
1.299,48.0,699.0,157.3
1.319,42.0,699.0,0.9
1.339,36.0,701.0,0.4
1.359,33.0,701.0,-24.3
1.379,30.0,701.0,0.4
1.399,30.0,701.0,81.3
1.419,30.0,698.0,301.6
1.439,32.0,701.0,0.6
1.459,36.0,702.0,3.0
1.479,40.0,701.0,0.4
1.499,46.0,700.0,97.1
1.519,53.0,697.0,336.3
1.539,61.0,700.0,363.2
1.559,70.0,699.0,251.8
1.579,79.0,700.0,289.7
1.599,89.0,701.0,164.3
1.619,98.0,701.0,-43.3
1.639,107.0,702.0,17.1
1.659,116.0,701.0,246.3
1.679,124.0,698.0,212.7
1.699,131.0,698.0,66.2
1.719,137.0,698.0,0.4
1.739,143.0,701.0,9.8
1.759,146.0,701.0,82.9
1.779,149.0,702.0,366.0
1.799,149.0,700.0,0.4
1.819,149.0,698.0,0.6
1.839,147.0,699.0,0.8
1.859,143.0,701.0,3.7
1.879,139.0,699.0,0.4
1.899,133.0,701.0,0.6
1.919,126.0,701.0,1.6
1.939,118.0,701.0,0.4
1.959,109.0,700.0,-14.1
1.979,100.0,701.0,27.6
1.999,90.0,701.0,210.8
2.019,81.0,702.0,254.1
2.039,72.0,702.0,0.6
2.059,63.0,700.0,116.3
2.079,55.0,701.0,4.4
2.099,48.0,708.0,83.1
2.119,42.0,699.0,46.5
2.139,36.0,702.0,0.4
2.159,33.0,701.0,0.7
2.179,30.0,699.0,0.4
2.199,30.0,701.0,-5.6
2.219,30.0,695.0,346.1
2.239,32.0,699.0,0.4
2.259,36.0,702.0,4.2
2.279,40.0,702.0,4.5
2.299,46.0,705.0,10.4
2.319,53.0,702.0,257.7
2.339,61.0,699.0,59.3
2.359,70.0,702.0,107.9
2.379,79.0,699.0,295.8
2.399,89.0,698.0,278.3
2.419,98.0,701.0,0.8
2.439,107.0,700.0,15.0
2.459,116.0,701.0,65.2
2.479,124.0,701.0,214.3
2.499,131.0,699.0,182.9
