elapsed_sec,angle_deg,flex_raw_adc,current_mA
5.581255912780762,90.0,699.0,0.62
5.581268072128296,90.0,700.0,3.71
5.582351207733154,90.0,705.0,0.94
5.787335157394409,103.0,701.0,0.71
5.81230616569519,112.0,699.0,543.57
5.812443256378174,120.0,699.0,448.35
5.812451124191284,128.0,701.0,234.24
5.829406023025513,135.0,701.0,10.62
5.829712152481079,140.0,699.0,133.53
5.831496953964233,145.0,701.0,251.16
5.831514120101929,148.0,701.0,0.49
5.831518888473511,149.0,703.0,0.27
5.831552982330322,149.0,701.0,0.62
5.831561088562012,148.0,699.0,-0.13
5.835108041763306,145.0,700.0,99.02
5.854883193969727,141.0,700.0,4.02
6.165798187255859,95.0,699.0,389.33
6.165817022323608,85.0,701.0,243.93
6.260741233825684,59.0,698.0,213.62
6.260756969451904,51.0,698.0,128.12
6.2607622146606445,44.0,700.0,209.2
6.260764837265015,39.0,699.0,296.21
6.263037919998169,34.0,701.0,90.58
6.263047218322754,31.0,701.0,0.62
6.2630510330200195,30.0,699.0,11.92
6.263055086135864,30.0,700.0,185.13
6.269236087799072,31.0,702.0,4.46
6.269248962402344,34.0,701.0,0.62
6.269498109817505,38.0,702.0,3.79
6.274126052856445,44.0,700.0,62.01
6.297036170959473,50.0,699.0,373.66
6.314897060394287,58.0,699.0,387.05
6.344866991043091,66.0,701.0,313.79
6.355269193649292,75.0,707.0,302.81
6.3810951709747314,84.0,704.0,318.84
6.436176061630249,94.0,696.0,267.32
6.437161922454834,103.0,699.0,220.62
6.437182903289795,112.0,700.0,73.21
6.457242250442505,120.0,699.0,275.13
6.476108074188232,128.0,698.0,190.22
6.5300679206848145,135.0,702.0,0.62
6.560626029968262,140.0,701.0,20.85
6.563255071640015,145.0,699.0,43.21
6.565722227096558,148.0,699.0,2.05
6.591238260269165,149.0,702.0,3.71
6.648743152618408,149.0,700.0,0.62
6.649991273880005,148.0,702.0,1.29
6.650829076766968,145.0,700.0,0.85
6.655431270599365,141.0,702.0,1.07
6.676027059555054,135.0,701.0,0.85
6.700176239013672,129.0,702.0,0.71
6.737605094909668,113.0,701.0,0.71
6.754588842391968,104.0,702.0,16.34
6.776185035705566,95.0,700.0,299.82
6.805418968200684,85.0,700.0,237.23
6.824161052703857,76.0,700.0,302.9
6.835289001464844,67.0,701.0,236.87
6.8551459312438965,59.0,704.0,226.79
6.875754117965698,51.0,701.0,-43.97
6.895924091339111,44.0,700.0,248.3
6.942358016967773,39.0,699.0,320.58
6.94453501701355,34.0,701.0,3.79
6.957216024398804,31.0,701.0,0.49
6.978649139404297,30.0,702.0,0.27
7.0622429847717285,30.0,699.0,64.33
7.062671184539795,31.0,700.0,0.85
7.062676906585693,34.0,701.0,3.57
7.06336784362793,38.0,698.0,0.71
7.286207914352417,50.0,702.0,67.86
7.287022113800049,58.0,701.0,303.21
7.345968246459961,66.0,699.0,29.51
7.346510171890259,75.0,701.0,284.69
7.3465142250061035,84.0,701.0,265.54
7.3552350997924805,94.0,699.0,250.94
7.357218027114868,103.0,701.0,-1.47
7.357222080230713,112.0,701.0,-8.48
7.357224941253662,120.0,700.0,275.67
7.360754013061523,128.0,699.0,213.39
7.360771179199219,135.0,699.0,243.79
7.360775947570801,140.0,701.0,0.71
7.3607800006866455,145.0,700.0,-22.23
7.36078405380249,148.0,701.0,132.54
7.37476921081543,149.0,704.0,1.29
7.423609018325806,148.0,701.0,3.93
7.442052125930786,145.0,701.0,4.78
7.457242250442505,141.0,699.0,5.76
7.478700160980225,135.0,698.0,316.43
7.51045298576355,129.0,701.0,26.74
7.657240152359009,113.0,701.0,1.52
7.658182144165039,104.0,701.0,0.71
7.658192157745361,95.0,701.0,229.73
7.660527229309082,85.0,702.0,160.31
7.660545110702515,76.0,701.0,263.26
7.660551071166992,67.0,699.0,239.29
7.660553932189941,59.0,698.0,280.18
7.67464017868042,51.0,701.0,0.62
7.695268154144287,44.0,701.0,-19.46
7.726775169372559,39.0,701.0,291.47
7.734342098236084,34.0,697.0,226.47
7.7551679611206055,31.0,699.0,343.97
7.776417016983032,30.0,699.0,0.27
7.799930095672607,30.0,702.0,0.62
7.81554102897644,31.0,701.0,66.07
7.835458993911743,34.0,701.0,1.38
7.856405019760132,38.0,699.0,4.15
7.878901958465576,44.0,702.0,0.4
7.899872064590454,50.0,702.0,0.49
7.917037010192871,58.0,702.0,85.85
7.936355113983154,66.0,699.0,0.62
7.960438013076782,75.0,702.0,306.96
8.019224166870117,94.0,699.0,250.4
8.022481203079224,104.0,699.0,-2.59
