elapsed_sec,angle_deg,flex_raw_adc,current_mA
0.02,98.0,672.0,0.6
0.04,108.0,672.0,329.3
0.06,116.0,672.0,390.0
0.08,124.0,673.0,238.1
0.1,132.0,673.0,144.5
0.12,138.0,672.0,52.6
0.14,143.0,676.0,73.6
0.16,146.0,672.0,68.7
0.18,149.0,670.0,54.2
0.2,149.0,673.0,65.7
0.22,149.0,672.0,0.6
0.24,147.0,669.0,0.4
0.26,143.0,670.0,0.8
0.28,138.0,670.0,59.0
0.3,132.0,672.0,54.2
0.32,125.0,672.0,25.8
0.34,117.0,671.0,211.6
0.36,108.0,669.0,178.9
0.38,99.0,673.0,148.9
0.4,90.0,672.0,69.0
0.42,81.0,670.0,117.9
0.44,71.0,672.0,114.4
0.46,63.0,672.0,82.5
0.48,55.0,672.0,129.9
0.5,47.0,671.0,154.5
0.52,41.0,672.0,71.3
0.54,36.0,673.0,29.1
0.56,33.0,673.0,95.5
0.58,30.0,672.0,466.2
0.6,30.0,672.0,0.7
0.62,30.0,672.0,13.2
0.64,32.0,672.0,0.1
0.66,36.0,672.0,0.7
0.68,41.0,672.0,23.9
0.7,47.0,671.0,74.3
0.72,54.0,672.0,59.8
0.74,62.0,670.0,68.3
0.76,71.0,670.0,257.5
0.78,80.0,672.0,124.9
0.8,89.0,672.0,116.5
0.82,98.0,672.0,131.6
0.84,108.0,673.0,243.9
0.86,116.0,672.0,68.3
0.88,124.0,671.0,117.2
0.9,132.0,672.0,141.7
0.92,138.0,672.0,124.4
0.94,143.0,672.0,75.7
0.96,146.0,667.0,-15.0
0.98,149.0,672.0,5.6
1.0,149.0,670.0,103.1
1.02,149.0,675.0,63.2
1.04,147.0,672.0,18.0
1.06,143.0,671.0,0.2
1.08,138.0,672.0,26.5
1.1,132.0,671.0,62.5
1.12,125.0,670.0,21.2
1.14,117.0,671.0,82.8
1.16,108.0,670.0,227.4
1.18,99.0,672.0,69.7
1.2,90.0,671.0,113.7
1.22,81.0,673.0,119.3
1.24,71.0,672.0,140.7
1.26,63.0,672.0,134.7
1.28,55.0,673.0,67.3
1.3,47.0,680.0,59.1
1.32,41.0,673.0,39.2
1.34,36.0,671.0,100.5
1.36,33.0,672.0,264.5
1.38,30.0,671.0,525.8
1.4,30.0,672.0,23.1
1.42,30.0,674.0,59.7
1.44,32.0,672.0,0.2
1.46,36.0,672.0,0.4
1.48,41.0,672.0,27.3
1.5,47.0,672.0,-4.3
1.52,54.0,672.0,4.0
1.54,62.0,672.0,64.0
1.56,71.0,675.0,157.2
1.58,80.0,673.0,151.9
1.6,89.0,672.0,297.6
1.62,98.0,674.0,74.5
1.64,108.0,670.0,209.3
1.66,116.0,672.0,105.0
1.68,124.0,673.0,127.2
1.7,132.0,673.0,131.2
1.72,138.0,671.0,407.6
1.74,143.0,671.0,74.4
1.76,146.0,673.0,26.7
1.78,149.0,672.0,89.3
1.8,149.0,671.0,49.7
1.82,149.0,672.0,22.5
1.84,147.0,671.0,0.6
1.86,143.0,672.0,0.4
1.88,138.0,673.0,44.9
1.9,132.0,674.0,54.9
1.92,125.0,672.0,23.5
1.94,117.0,672.0,817.4
1.96,108.0,672.0,23.0
1.98,99.0,672.0,111.3
2.0,90.0,672.0,132.7
2.02,81.0,672.0,129.0
2.04,71.0,672.0,130.4
2.06,63.0,672.0,112.5
2.08,55.0,673.0,41.9
2.1,47.0,680.0,30.4
2.12,41.0,672.0,143.5
2.14,36.0,672.0,155.7
2.16,33.0,672.0,213.9
2.18,30.0,672.0,63.6
2.2,30.0,671.0,61.9
2.22,30.0,672.0,72.8
2.24,32.0,672.0,0.7
2.26,36.0,672.0,0.4
2.28,41.0,672.0,20.4
2.3,47.0,672.0,141.3
2.32,54.0,672.0,58.3
2.34,62.0,672.0,212.9
2.36,71.0,671.0,317.4
2.38,80.0,662.0,170.4
2.4,89.0,672.0,146.7
2.42,98.0,672.0,64.6
2.44,108.0,672.0,240.2
2.46,116.0,665.0,134.8
2.48,124.0,672.0,117.0
2.5,132.0,672.0,112.2
2.52,138.0,672.0,399.4
2.54,143.0,672.0,-19.0
2.56,146.0,671.0,-1.0
2.58,149.0,672.0,51.9
2.6,149.0,671.0,67.6
2.62,149.0,671.0,0.6
2.64,147.0,671.0,-0.7
2.66,143.0,670.0,-0.9
2.68,138.0,670.0,0.7
2.7,132.0,672.0,65.9
2.72,125.0,671.0,66.9
2.74,117.0,670.0,65.6
2.76,108.0,670.0,140.5
2.78,99.0,673.0,134.1
2.8,90.0,672.0,145.8
2.82,81.0,672.0,139.4
2.84,71.0,673.0,83.4
2.86,63.0,673.0,49.4
2.88,55.0,673.0,24.6
2.9,47.0,672.0,84.0
2.92,41.0,673.0,152.0
2.94,36.0,672.0,130.3
2.96,33.0,672.0,25.7
2.98,30.0,672.0,92.2
3.0,30.0,671.0,7.0
3.02,30.0,672.0,71.1
3.04,32.0,665.0,40.4
3.06,36.0,672.0,0.8
3.08,41.0,671.0,25.1
3.1,47.0,672.0,127.1
3.12,54.0,672.0,65.5
3.14,62.0,671.0,58.3
3.16,71.0,672.0,435.5
3.18,80.0,672.0,240.9
3.2,89.0,675.0,52.2
3.22,98.0,671.0,129.2
3.24,108.0,672.0,240.8
3.26,116.0,672.0,118.0
