elapsed_sec,angle_deg,flex_raw_adc,current_mA
0.0,90.0,723.0,0.6
0.02,98.0,723.0,0.6
0.04,108.0,723.0,526.1
0.06,116.0,723.0,250.1
0.08,124.0,722.0,196.7
0.1,132.0,723.0,160.5
0.12,138.0,723.0,109.5
0.14,143.0,723.0,124.4
0.16,146.0,722.0,102.4
0.18,149.0,722.0,90.0
0.2,149.0,722.0,75.7
0.22,149.0,723.0,-10.0
0.24,147.0,723.0,21.3
0.26,143.0,722.0,0.8
0.28,138.0,723.0,0.9
0.3,132.0,722.0,0.6
0.32,125.0,722.0,174.2
0.34,117.0,718.0,123.3
0.36,108.0,716.0,48.8
0.38,99.0,701.0,168.0
0.4,90.0,693.0,211.5
0.42,81.0,690.0,0.0
0.44,71.0,690.0,176.9
0.46,62.0,690.0,176.3
0.48,55.0,691.0,221.1
0.5,47.0,690.0,-33.1
0.52,41.0,691.0,-25.5
0.54,36.0,692.0,212.6
0.56,33.0,693.0,2.3
0.58,30.0,696.0,4.9
0.6,30.0,699.0,1.0
0.62,30.0,704.0,281.8
0.64,32.0,709.0,0.4
0.66,36.0,718.0,0.8
0.68,41.0,722.0,5.4
0.7,47.0,720.0,0.4
0.72,54.0,720.0,195.2
0.74,62.0,721.0,0.6
0.76,71.0,721.0,332.7
0.78,80.0,722.0,179.9
0.8,90.0,721.0,0.0
0.82,98.0,721.0,-21.5
0.84,108.0,721.0,266.7
0.86,116.0,721.0,202.4
0.88,124.0,716.0,214.0
0.9,132.0,722.0,-30.3
0.92,138.0,721.0,167.2
0.94,143.0,720.0,126.5
0.96,146.0,722.0,0.6
0.98,149.0,722.0,1.2
1.0,149.0,721.0,4.9
1.02,149.0,721.0,44.2
1.04,147.0,722.0,4.2
1.06,143.0,722.0,5.2
1.08,138.0,722.0,5.1
1.1,132.0,721.0,183.8
1.12,125.0,720.0,232.9
1.14,117.0,721.0,383.7
1.16,108.0,722.0,254.2
1.18,99.0,722.0,194.3
1.2,90.0,722.0,-11.7
1.22,81.0,721.0,163.7
1.24,71.0,721.0,201.7
1.26,63.0,722.0,238.7
