elapsed_sec,angle_deg,flex_raw_adc,current_mA
0.016,97.0,673.0,0.6
0.036,106.0,673.0,51.4
0.056,115.0,673.0,318.7
0.076,123.0,674.0,390.5
0.096,130.0,673.0,118.0
0.116,137.0,673.0,91.6
0.136,142.0,673.0,67.6
0.156,146.0,673.0,99.2
0.176,148.0,673.0,56.1
0.196,149.0,677.0,135.9
0.216,149.0,673.0,0.7
0.236,147.0,673.0,20.8
0.256,144.0,672.0,0.4
0.276,139.0,672.0,20.4
0.296,134.0,672.0,173.5
0.316,127.0,672.0,164.7
0.336,119.0,673.0,60.6
0.356,110.0,672.0,393.4
0.376,101.0,672.0,348.2
0.396,92.0,673.0,103.8
0.416,82.0,673.0,90.0
0.436,73.0,673.0,127.5
0.456,64.0,673.0,257.8
0.476,56.0,673.0,362.9
0.496,49.0,673.0,76.7
0.516,42.0,672.0,105.9
0.536,37.0,673.0,121.0
0.556,33.0,673.0,50.0
0.576,31.0,673.0,62.4
0.596,30.0,672.0,19.9
0.616,30.0,672.0,58.1
0.636,32.0,672.0,0.8
0.656,35.0,672.0,0.2
0.676,40.0,672.0,0.7
0.696,45.0,672.0,55.2
0.716,52.0,672.0,56.6
0.736,60.0,672.0,538.8
0.756,69.0,672.0,204.9
0.776,78.0,672.0,229.5
0.796,87.0,673.0,161.5
0.816,97.0,673.0,74.6
0.836,106.0,673.0,90.9
0.856,115.0,673.0,81.9
0.876,123.0,673.0,113.5
0.896,130.0,673.0,69.5
0.916,137.0,672.0,57.7
0.936,142.0,672.0,63.6
0.956,146.0,673.0,77.0
0.976,148.0,673.0,162.7
0.996,149.0,672.0,58.5
1.016,149.0,673.0,0.7
1.036,147.0,671.0,53.6
1.056,144.0,672.0,0.4
1.076,139.0,672.0,44.2
1.096,134.0,672.0,66.7
1.116,127.0,672.0,74.7
1.136,119.0,672.0,47.1
1.156,110.0,672.0,103.2
1.176,101.0,672.0,312.4
1.196,92.0,672.0,122.1
1.216,82.0,673.0,134.1
1.236,73.0,672.0,217.5
1.256,64.0,673.0,301.5
1.276,56.0,673.0,96.4
1.296,49.0,673.0,97.6
1.316,42.0,673.0,115.6
1.336,37.0,672.0,162.0
1.356,33.0,673.0,194.4
1.376,31.0,672.0,20.9
1.396,30.0,672.0,18.3
1.416,30.0,672.0,54.1
1.436,32.0,672.0,0.6
1.456,35.0,672.0,0.6
1.476,40.0,671.0,0.4
1.496,45.0,672.0,53.4
1.516,52.0,673.0,57.0
1.536,60.0,672.0,234.7
1.556,69.0,672.0,431.6
1.576,78.0,673.0,69.2
1.596,87.0,673.0,76.1
1.616,97.0,672.0,97.1
1.636,106.0,672.0,116.4
1.656,115.0,672.0,114.1
1.676,123.0,673.0,131.6
1.696,130.0,673.0,58.8
1.716,137.0,673.0,46.3
1.736,142.0,673.0,114.6
1.756,146.0,672.0,34.9
1.776,148.0,672.0,237.8
1.796,149.0,672.0,63.2
1.816,149.0,672.0,0.9
1.836,147.0,672.0,25.9
1.856,144.0,671.0,23.4
1.876,139.0,673.0,0.2
1.896,134.0,671.0,0.4
1.916,127.0,672.0,47.5
1.936,119.0,672.0,89.1
1.956,110.0,672.0,91.7
1.976,101.0,672.0,297.4
1.996,92.0,672.0,192.0
2.016,82.0,673.0,89.7
2.036,73.0,673.0,244.4
2.056,64.0,673.0,237.9
2.076,56.0,671.0,116.6
2.096,49.0,673.0,121.4
2.116,42.0,673.0,-0.2
2.136,37.0,672.0,422.7
2.156,33.0,672.0,96.7
2.176,31.0,677.0,0.4
2.196,30.0,670.0,296.1
2.216,30.0,672.0,61.4
2.236,32.0,672.0,54.1
2.256,35.0,672.0,0.7
2.276,40.0,673.0,8.0
2.296,45.0,672.0,45.5
2.316,52.0,672.0,90.9
2.336,60.0,672.0,0.6
2.356,69.0,672.0,81.0
2.376,78.0,673.0,68.7
2.396,87.0,673.0,71.2
2.416,97.0,673.0,118.1
2.436,106.0,674.0,108.1
2.456,115.0,673.0,156.7
2.476,123.0,674.0,127.8
2.496,130.0,673.0,99.3
2.516,137.0,672.0,116.0
2.536,142.0,664.0,154.6
2.556,146.0,672.0,74.3
2.576,148.0,672.0,318.4
2.596,149.0,672.0,61.2
2.616,149.0,672.0,0.6
2.636,147.0,673.0,30.4
2.656,144.0,672.0,0.7
2.676,139.0,672.0,23.9
2.696,134.0,673.0,480.1
2.716,127.0,672.0,29.4
2.736,119.0,672.0,144.4
2.756,110.0,672.0,146.5
2.776,101.0,672.0,295.0
2.796,92.0,672.0,290.2
2.816,82.0,672.0,280.7
2.836,73.0,672.0,263.1
2.856,64.0,674.0,242.8
2.876,56.0,673.0,124.1
2.896,49.0,670.0,68.5
2.916,42.0,673.0,79.5
2.936,37.0,673.0,45.2
2.956,33.0,673.0,33.7
2.976,31.0,672.0,30.6
2.996,30.0,673.0,27.3
3.016,30.0,673.0,23.1
3.036,32.0,673.0,1.6
3.056,35.0,672.0,0.4
3.076,40.0,672.0,22.1
3.096,45.0,673.0,46.9
3.116,53.0,672.0,43.3
3.136,60.0,672.0,0.4
3.156,69.0,667.0,406.6
3.176,78.0,673.0,105.9
