elapsed_sec,angle_deg,flex_raw_adc,current_mA
0.02,98.0,740.0,4.0
0.04,108.0,741.0,38.3
0.06,116.0,739.0,407.9
0.08,124.0,740.0,218.8
0.1,132.0,740.0,0.7
0.12,138.0,739.0,272.3
0.14,143.0,740.0,54.6
0.16,146.0,741.0,0.4
0.18,149.0,740.0,0.6
0.2,149.0,740.0,0.4
0.22,149.0,740.0,0.8
0.24,147.0,740.0,0.9
0.26,143.0,740.0,2.9
0.28,138.0,740.0,0.6
0.3,132.0,740.0,0.6
0.32,125.0,741.0,2.8
0.34,117.0,745.0,315.9
0.36,108.0,740.0,0.4
0.38,99.0,740.0,61.2
0.4,90.0,740.0,142.4
0.42,81.0,742.0,221.6
0.44,71.0,740.0,229.1
0.46,63.0,739.0,239.0
0.48,55.0,741.0,193.3
0.5,47.0,741.0,0.6
0.52,41.0,743.0,185.1
0.54,36.0,739.0,23.4
0.56,33.0,743.0,2.0
0.58,30.0,740.0,0.6
0.6,30.0,740.0,0.6
0.62,30.0,738.0,48.9
0.64,32.0,741.0,0.4
0.66,36.0,740.0,0.8
0.68,41.0,741.0,0.9
0.7,47.0,740.0,-0.7
0.72,54.0,740.0,5.5
0.74,62.0,740.0,94.1
0.76,71.0,744.0,310.8
0.78,80.0,740.0,0.8
0.8,89.0,740.0,147.4
0.82,98.0,739.0,139.4
0.84,108.0,741.0,34.9
0.86,116.0,739.0,271.8
0.88,124.0,740.0,222.3
0.9,132.0,740.0,-3.9
0.92,138.0,741.0,13.7
0.94,143.0,740.0,228.7
0.96,146.0,740.0,0.8
0.98,149.0,740.0,-17.4
1.0,149.0,740.0,4.1
1.02,149.0,741.0,-5.0
1.04,147.0,738.0,3.0
1.06,143.0,740.0,2.1
1.08,138.0,740.0,0.6
1.1,132.0,740.0,0.8
1.12,125.0,741.0,77.7
1.14,117.0,741.0,328.2
1.16,108.0,740.0,164.5
1.18,99.0,740.0,201.0
1.2,90.0,740.0,256.5
1.22,81.0,739.0,242.2
1.24,71.0,740.0,175.9
1.26,63.0,740.0,215.6
1.28,55.0,740.0,1.5
1.3,47.0,741.0,-35.9
1.32,41.0,740.0,225.6
1.34,36.0,740.0,206.9
1.36,33.0,740.0,0.4
1.38,30.0,740.0,0.4
1.4,30.0,740.0,-11.3
1.42,30.0,739.0,333.8
1.44,32.0,740.0,3.9
1.46,36.0,740.0,1.0
1.48,41.0,740.0,0.7
1.5,47.0,739.0,265.7
1.52,54.0,739.0,370.2
1.54,62.0,740.0,198.1
1.56,71.0,739.0,299.3
1.58,80.0,741.0,33.3
1.6,89.0,740.0,268.3
1.62,98.0,739.0,222.5
1.64,108.0,739.0,220.1
1.66,116.0,741.0,242.4
1.68,124.0,745.0,11.6
1.7,132.0,740.0,-17.6
1.72,138.0,741.0,1.5
1.74,143.0,740.0,83.5
1.76,146.0,739.0,0.6
1.78,149.0,740.0,4.1
1.8,149.0,740.0,0.7
1.82,149.0,740.0,0.7
1.84,147.0,734.0,3.7
1.86,143.0,740.0,2.7
1.88,138.0,740.0,0.4
1.9,132.0,740.0,81.0
1.92,125.0,736.0,173.3
1.94,117.0,740.0,232.3
1.96,108.0,740.0,0.6
1.98,99.0,740.0,226.3
2.0,90.0,740.0,95.9
2.02,81.0,740.0,217.7
2.04,71.0,739.0,227.2
2.06,63.0,740.0,216.3
2.08,55.0,740.0,178.3
2.1,47.0,740.0,-25.7
2.12,41.0,745.0,239.5
2.14,36.0,744.0,272.0
2.16,33.0,740.0,0.4
2.18,30.0,740.0,78.2
2.2,30.0,740.0,0.4
2.22,30.0,740.0,0.9
2.24,32.0,740.0,0.8
2.26,36.0,745.0,0.7
2.28,41.0,740.0,0.4
2.3,47.0,740.0,119.5
2.32,54.0,739.0,448.2
2.34,62.0,740.0,374.4
2.36,71.0,740.0,58.7
2.38,80.0,741.0,-16.2
2.4,89.0,740.0,238.7
2.42,98.0,741.0,155.0
2.44,108.0,740.0,223.6
2.46,116.0,739.0,231.7
2.48,124.0,739.0,78.2
2.5,132.0,742.0,19.2
2.52,138.0,741.0,79.8
2.54,143.0,740.0,253.3
2.56,146.0,739.0,0.4
2.58,149.0,741.0,4.1
