elapsed_sec,angle_deg,flex_raw_adc,current_mA
0.0,90.0,722.0,5.4
0.02,98.0,722.0,0.6
0.04,108.0,724.0,5.7
0.06,116.0,724.0,1.1
0.08,124.0,722.0,112.0
0.1,132.0,721.0,96.5
0.12,138.0,723.0,0.7
0.14,143.0,720.0,4.2
0.16,146.0,723.0,5.3
0.18,149.0,722.0,12.1
0.2,150.0,725.0,0.6
0.22,149.0,720.0,0.7
0.24,147.0,724.0,2.4
0.26,143.0,722.0,1.9
0.28,138.0,718.0,69.5
0.3,132.0,725.0,0.8
0.32,125.0,724.0,1.1
0.34,117.0,724.0,5.1
0.36,108.0,723.0,-28.0
0.38,99.0,721.0,260.9
0.4,90.0,723.0,249.7
0.42,81.0,719.0,8.6
0.44,71.0,724.0,-30.1
0.46,63.0,723.0,-43.6
0.48,55.0,722.0,35.4
0.5,47.0,722.0,4.7
0.52,41.0,724.0,17.5
0.54,36.0,721.0,0.9
0.56,33.0,723.0,0.7
0.58,30.0,723.0,66.2
0.6,30.0,722.0,1.6
0.62,30.0,725.0,0.4
0.64,32.0,722.0,0.4
0.66,36.0,724.0,277.9
0.68,41.0,723.0,267.7
0.7,47.0,724.0,0.7
0.72,54.0,725.0,4.9
0.74,62.0,724.0,0.9
0.76,71.0,723.0,-56.3
0.78,80.0,724.0,62.2
0.8,90.0,725.0,0.7
0.82,98.0,722.0,1.0
0.84,108.0,722.0,1.6
0.86,116.0,719.0,-19.2
0.88,124.0,726.0,94.1
0.9,132.0,725.0,0.4
0.92,138.0,727.0,0.7
0.94,143.0,723.0,4.9
0.96,146.0,726.0,16.4
0.98,149.0,721.0,33.2
1.0,149.0,724.0,0.4
1.02,149.0,725.0,5.3
1.04,147.0,721.0,5.2
1.06,143.0,724.0,216.1
1.08,138.0,723.0,5.8
1.1,132.0,723.0,0.4
1.12,125.0,724.0,5.1
1.14,117.0,724.0,-8.1
1.16,108.0,722.0,-1.6
1.18,99.0,723.0,338.3
1.2,90.0,721.0,13.7
1.22,80.0,725.0,47.8
1.24,71.0,723.0,5.2
1.26,63.0,722.0,14.6
1.28,55.0,723.0,29.3
1.3,47.0,724.0,0.6
1.32,41.0,725.0,3.7
1.34,36.0,721.0,0.9
1.36,33.0,729.0,1.2
1.38,30.0,724.0,4.9
1.4,30.0,724.0,35.5
1.42,30.0,723.0,1.2
1.44,32.0,724.0,0.7
1.46,36.0,724.0,109.6
1.48,41.0,724.0,0.6
1.5,47.0,724.0,0.8
1.52,54.0,725.0,0.8
1.54,62.0,725.0,-9.0
1.56,71.0,723.0,209.1
1.58,80.0,728.0,51.2
1.6,89.0,724.0,7.9
1.62,98.0,725.0,0.9
1.64,108.0,722.0,0.4
1.66,116.0,724.0,9.8
1.68,124.0,722.0,127.1
1.7,132.0,726.0,0.2
1.72,138.0,724.0,0.7
1.74,143.0,717.0,-17.1
1.76,146.0,697.0,0.0
1.78,149.0,697.0,0.6
1.8,149.0,697.0,2.0
1.82,149.0,696.0,0.6
1.84,147.0,696.0,5.4
1.86,143.0,686.0,0.6
1.88,138.0,691.0,0.7
1.9,132.0,691.0,0.6
1.92,125.0,691.0,2.1
1.94,117.0,689.0,4.6
1.96,108.0,688.0,188.1
1.98,99.0,686.0,333.2
2.0,90.0,694.0,0.6
2.02,81.0,690.0,0.6
2.04,71.0,688.0,0.6
2.06,62.0,688.0,0.7
2.08,55.0,688.0,215.3
2.1,47.0,692.0,0.8
2.12,41.0,688.0,0.9
2.14,36.0,689.0,-12.2
2.16,33.0,690.0,-12.4
2.18,30.0,692.0,0.8
2.2,30.0,690.0,0.7
2.22,30.0,689.0,0.7
2.24,32.0,691.0,4.6
2.26,36.0,688.0,0.6
2.28,41.0,689.0,0.8
2.3,47.0,686.0,1.1
2.32,54.0,688.0,0.6
2.34,62.0,689.0,0.8
2.36,71.0,691.0,28.8
2.38,80.0,691.0,0.6
2.4,89.0,689.0,1.2
2.42,98.0,691.0,0.8
2.44,108.0,690.0,-39.1
2.46,117.0,686.0,-5.6
2.48,124.0,691.0,172.7
2.5,132.0,692.0,0.4
2.52,138.0,682.0,0.6
2.54,143.0,682.0,-40.8
2.56,146.0,688.0,32.3
2.58,149.0,686.0,0.4
2.6,149.0,688.0,0.6
2.62,149.0,686.0,-2.5
2.64,147.0,690.0,1.2
2.66,143.0,684.0,0.8
2.68,138.0,685.0,0.4
2.7,132.0,687.0,0.6
2.72,125.0,689.0,1.0
2.74,117.0,689.0,88.2
2.76,108.0,683.0,49.1
2.78,99.0,688.0,278.3
2.8,90.0,685.0,0.8
2.82,81.0,687.0,0.4
2.84,71.0,690.0,-29.0
2.86,63.0,687.0,94.9
2.88,55.0,691.0,145.1
2.9,47.0,690.0,0.6
2.92,41.0,683.0,-25.7
2.94,36.0,689.0,-22.9
2.96,33.0,688.0,0.0
2.98,30.0,686.0,1.0
3.0,30.0,690.0,0.6
3.02,30.0,685.0,0.6
3.04,32.0,690.0,0.6
3.06,36.0,688.0,0.6
3.08,41.0,683.0,0.7
3.1,47.0,690.0,5.4
3.12,54.0,690.0,1.5
3.14,62.0,689.0,53.4
3.16,71.0,687.0,201.7
3.18,80.0,689.0,0.7
3.2,89.0,688.0,0.7
3.22,98.0,690.0,-30.3
3.24,108.0,688.0,-63.6
3.26,117.0,688.0,210.3
3.28,124.0,686.0,0.9
3.3,132.0,685.0,0.6
3.32,138.0,682.0,-27.0
3.34,143.0,685.0,-25.8
3.36,146.0,685.0,33.8
3.38,149.0,687.0,5.3
3.4,149.0,688.0,0.4
3.42,149.0,685.0,5.6
3.44,147.0,688.0,5.5
3.46,143.0,684.0,6.2
3.48,138.0,689.0,0.7
3.5,132.0,682.0,0.6
3.52,125.0,685.0,5.4
3.54,117.0,685.0,24.9
3.56,108.0,685.0,51.1
3.58,99.0,686.0,265.3
3.6,90.0,689.0,0.6
3.62,81.0,683.0,-19.6
3.64,71.0,685.0,-44.5
3.66,63.0,686.0,93.1
3.68,55.0,684.0,0.4
3.7,47.0,689.0,5.4
3.72,41.0,686.0,-9.9
3.74,36.0,687.0,52.8
3.76,32.0,684.0,0.7
3.78,30.0,688.0,0.8
3.8,30.0,686.0,0.6
